id,is_active,name,established,insured,last_updated,address,city,state,asset,deposits,ots_region,offices,offices_domestic,officies_foreign,fed_district
28,1,Traders & Farmers Bank,1906-01-06,1934-01-01,2011-02-24,819 20th St,Haleyville,Alabama,351764,284862,Southeast,7,7,0,Atlanta
29,0,The Citizens Bank of Georgiana,1931-01-01,1934-01-01,1999-05-05,Main Street,Georgiana,Alabama,7741,7097,Southeast,1,,,Atlanta
30,1,Bank of Evergreen,1932-09-01,1934-01-01,2011-05-06,146 West Front Street,Evergreen,Alabama,56587,51349,Southeast,1,1,0,Atlanta
31,1,Community Spirit Bank,1908-03-17,1934-01-01,2012-01-11,200 4th Avenue Sw,Red Bay,Alabama,139813,122996,Southeast,5,5,0,Atlanta
32,1,The Bank of Vernon,1911-11-11,1934-01-01,2011-02-24,44825 Highway 17,Vernon,Alabama,144121,121850,Southeast,2,2,0,Atlanta
33,1,The Citizens Bank of Winfield,1920-05-22,1934-01-01,2011-02-24,108-110 East First Avenue,Winfield,Alabama,198357,136795,Southeast,1,1,0,Atlanta
34,0,Peoples Community Bank,1912-10-21,1934-01-01,2005-05-03,109 East Church Street,Columbia,Alabama,160002,144256,Southeast,6,,,Atlanta
35,1,The Exchange Bank of Alabama,1909-03-10,1934-01-01,2011-02-24,Sixth And Blount Streets,Altoona,Alabama,245280,214775,Southeast,5,5,0,Atlanta
36,0,First Alabama Bank of Covington County,1933-07-01,1934-01-01,1990-10-04,200 Church Street,Andalusia,Alabama,73792,65869,Southeast,1,,,Atlanta
37,0,SouthTrust Bank of Central Alabama,1906-03-20,1934-01-01,1995-01-27,101 Jefferson Street,Alexander City,Alabama,131453,117240,Southeast,6,,,Atlanta
38,0,Community Bank,1923-07-23,1934-01-01,2006-11-21,Main And Liberty Streets,Blountsville,Alabama,569546,442259,Southeast,19,,,Atlanta
39,1,United Bank,1904-01-04,1934-01-01,2006-11-03,200 East Nashville Avenue,Atmore,Alabama,486237,436062,Southeast,19,19,0,Atlanta
40,0,The Citizens Bank,1901-01-01,1934-01-01,2013-01-09,515 South Commerce Street,Geneva,Alabama,172397,143109,Southeast,1,,,Atlanta
41,0,BankTrust of Brewton,1912-02-05,1934-01-01,2004-01-22,227 Belleville Avenue,Brewton,Alabama,117230,98586,Southeast,3,,,Atlanta
42,0,Bank of Florala,1904-01-01,1934-01-01,1990-10-04,1200 Lakeshore Boulevard,Florala,Alabama,20843,17599,Southeast,1,,,Atlanta
43,0,The Bank of Parrish,1919-05-19,1934-01-01,2002-05-23,First Avenue And Main Street,Parrish,Alabama,21876,18772,Southeast,1,,,Atlanta
44,0,"The Commercial Bank of Roanoke, Alabama",1931-05-12,1934-01-01,2000-03-14,548 Main Street,Roanoke,Alabama,40564,35910,Southeast,2,,,Atlanta
45,0,Central Bank of St. Clair County,1907-12-01,1934-01-01,1991-03-07,Main And Robinson Streets,Springville,Alabama,10626,9129,Southeast,1,,,Atlanta
46,0,First Alabama Bank of Chilton County,1919-10-19,1934-01-01,1991-03-07,Highway 31,Thorsby,Alabama,20888,18465,Southeast,3,,,Atlanta
47,0,SouthTrust Bank of Tuskegee,1933-09-25,1934-01-01,1990-10-04,104 South Elm Street,Tuskegee,Alabama,15864,14212,Southeast,1,,,Atlanta
48,1,Peachtree Bank,1919-09-19,1934-01-01,2011-02-24,9411 Al Highway 22,Maplesville,Alabama,53934,45920,Southeast,2,2,0,Atlanta
49,0,Luverne Bank & Trust Company,1933-06-03,1934-01-01,1990-10-04,South Forest Avenue,Luverne,Alabama,31534,27208,Southeast,1,,,Atlanta
50,1,Peoples Exchange Bank of Monroe County,1907-08-23,1934-01-01,2014-01-15,2013 Highway 21 Bypass,Monroeville,Alabama,61462,53518,Southeast,1,1,0,Atlanta
51,0,First Alabama Bank of Walker County,1923-01-01,1934-01-01,1991-03-07,106 Mill Street,Cordova,Alabama,40412,38827,Southeast,2,,,Atlanta
52,1,Central State Bank,1916-02-05,1934-01-01,2011-02-24,11025 Hwy 25,Calera,Alabama,184393,159630,Southeast,4,4,0,Atlanta
53,0,"SouthTrust Bank of Etowah County, National Association",1906-07-01,1934-01-01,1995-01-27,250 South Seventh Street,Gadsden,Alabama,269047,223208,Southeast,5,,,Atlanta
54,0,"Brundidge Banking Company, Inc.",1900-08-04,1934-01-01,1995-04-25,200 North Main Street,Brundidge,Alabama,53878,46182,Southeast,2,,,Atlanta
55,0,"First Alabama Bank of Athens, N. A.",1927-10-03,1934-01-01,1990-10-04,201 West Green Street,Athens,Alabama,58678,51120,Southeast,2,,,Atlanta
56,0,The Peoples Bank,1919-09-30,1934-01-01,1992-11-13,Main Street,Collinsville,Alabama,11896,11899,Southeast,1,,,Atlanta
57,1,BankSouth,1928-01-01,1934-01-01,2006-11-03,3251 Ross Clark Circle,Dothan,Alabama,179180,145356,Southeast,2,2,0,Atlanta
58,0,First Alabama Bank of Guntersville,1909-01-01,1934-01-01,1990-10-04,531 Gunter Avenue,Guntersville,Alabama,28898,25867,Southeast,2,,,Atlanta
59,0,Bank of Weiner,1909-04-09,1934-01-01,1995-03-08,202 North Main Street,Weiner,Arkansas,31122,27934,Western,2,,,Dallas
60,0,Horizon Bank,1889-06-24,1934-01-01,1998-08-12,East Page Avenue And Ash Street,Malvern,Arkansas,21931,0,Western,1,,,Kansas City
61,1,Warren Bank and Trust Company,1901-12-31,1934-01-01,2006-11-03,201 South Main Street,Warren,Arkansas,136889,109821,Western,4,4,0,Dallas
62,0,Boatmen's Bank of Northeast Arkansas,1919-07-25,1934-01-01,1997-09-02,Main And Washington Streets,Jonesboro,Arkansas,283249,188711,Western,6,,,Atlanta
63,0,The Security Bank,1931-11-01,1934-01-01,1998-10-29,300 North Vine Street,Harrison,Arkansas,119311,108921,Western,2,,,Atlanta
64,0,Union Planters Bank of Northeast Arkansas,1932-01-01,1934-01-01,1998-01-24,300 South Church Street,Jonesboro,Arkansas,712107,520764,Western,20,,,Dallas
65,0,Madison Bank and Trust,1911-04-07,1934-01-01,2003-11-04,101 Public Square,Kingston,Arkansas,27378,24705,Western,1,,,Dallas
66,0,Marked Tree Bank,1932-03-10,1934-01-01,2003-05-07,210 Frisco Street,Marked Tree,Arkansas,31748,27620,Western,1,,,Dallas
67,0,Peoples Bank and Loan Co.,1911-01-01,1934-01-01,1999-04-22,Spruce Street,Lewisville,Arkansas,35463,32112,Western,1,,,Dallas
68,1,First Bank,1907-10-08,1934-01-01,2014-02-05,302 E Main,Hampton,Arkansas,261062,223148,Western,12,9,0,Dallas
69,1,Signature Bank of Arkansas,1933-08-18,1934-01-01,2007-05-09,"3878 North Crossover Road, Suite 20",Fayetteville,Arkansas,491348,397572,Western,5,5,0,Dallas
70,1,Commercial Bank & Trust Company,1913-01-01,1934-01-01,2013-12-11,212 West Gaines Street,Monticello,Arkansas,187022,158902,Western,5,5,0,Dallas
71,1,Allied Bank,1902-03-04,1934-01-01,2006-11-03,311 Main Street,Mulberry,Arkansas,138597,117846,Western,10,10,0,Dallas
72,1,Delta Trust & Bank,1910-02-01,1934-01-01,2006-11-03,1853 Highway 165 South,Parkdale,Arkansas,431378,376742,Western,9,9,0,Dallas
73,1,Riverside Bank,1916-01-01,1934-01-01,2006-11-03,Commerce And Main Streets,Sparkman,Arkansas,55629,49213,Western,2,2,0,Dallas
74,1,First State Bank of Warren,1890-01-01,1934-01-01,2014-02-07,104 S Main Street,Warren,Arkansas,97835,87845,Western,4,4,0,Dallas
75,0,Citizens First Bank,1933-01-01,1934-01-01,1998-09-10,100 East Peach Street,El Dorado,Arkansas,116593,99541,Western,6,,,Dallas
76,0,Planters Bank & Trust Company,1921-01-01,1934-01-01,1995-09-19,200-244 Dillard Street,Forrest City,Arkansas,60664,52953,Western,4,,,Dallas
77,0,Arkansas Bank and Trust Company,1907-01-01,1934-01-01,1998-11-10,835 Central Avenue,Hot Springs,Arkansas,446375,409385,Western,10,,,Atlanta
78,0,Valley Bank,1907-11-18,1934-01-01,1990-10-04,Main Street,Hindsville,Arkansas,1924,1781,Western,1,,,Dallas
79,1,Bank of Delight,1911-06-16,1934-01-01,2010-09-23,503 E Antioch Street,Delight,Arkansas,77561,58893,Western,2,2,0,Dallas
80,0,Bank of Bentonville,1931-02-25,1934-01-01,2002-04-10,201 N.E. A Street,Bentonville,Arkansas,712714,635933,Western,14,,,Dallas
81,1,Bank of Prescott,1904-08-10,1934-01-01,2006-11-03,East 2nd And Main Streets,Prescott,Arkansas,77243,64467,Western,1,1,0,Dallas
82,0,Security Bank,1931-02-05,1934-01-01,1996-02-21,Court And Pruett Streets,Paragould,Arkansas,116636,107324,Western,4,,,Dallas
83,0,River Valley Bank and Trust,1910-05-05,1934-01-01,1999-06-16,Main And Phillips Streets,Lavaca,Arkansas,80310,67728,Western,4,,,Dallas
84,0,Commercial Bank at Alma,1909-01-01,1934-01-01,1999-12-17,U.S. Highways 64 And 71,Alma,Arkansas,73774,65629,Western,3,,,Dallas
85,1,Bank of Cave City,1906-07-01,1934-01-01,2012-07-09,133 S Main Street,Cave City,Arkansas,93876,77806,Western,4,4,0,Dallas
86,1,The Merchants & Planters Bank,1890-01-01,1934-01-01,2006-11-03,297 Madison Street,Clarendon,Arkansas,49509,44905,Western,1,1,0,Dallas
87,0,Chambers Bank of North Arkansas,1912-06-01,1934-01-01,2008-12-08,1685 East Joyce Boulevard,Fayetteville,Arkansas,287433,205294,Western,7,,,Dallas
88,1,Horatio State Bank,1905-05-05,1934-01-01,2006-11-03,Pride And Main,Horatio,Arkansas,139789,124543,Western,1,1,0,Dallas
89,1,Bank of the Ozarks,1903-03-03,1934-01-01,2014-03-10,17901 Chenal Parkway,Little Rock,Arkansas,4780399,3730343,Western,148,135,0,Dallas
90,0,SANTA MONICA BANK,1928-02-03,1934-01-01,1998-08-03,1251 Fourth Street,Santa Monica,California,678407,592537,Western,9,,,San Francisco
91,0,NCNB National Bank of Florida,1917-03-01,1934-01-01,1990-10-04,535 South Ohio Avenue,Live Oak,Florida,42886,39475,Southeast,2,,,Atlanta
92,0,"Southeast Bank of Madison County, National Association",1931-02-02,1934-01-01,1990-10-04,400 West Base (U. S. 90),Madison,Florida,31954,28981,Southeast,2,,,Atlanta
93,0,Southeast Bank of Wildwood,1913-09-01,1934-01-01,1990-10-04,200 South Main Street,Wildwood,Florida,21210,19530,Southeast,1,,,Atlanta
94,0,Atlantic Bank of Jacksonville,1925-12-01,1934-01-01,1990-10-04,1601 Main Street West Bay Station,Jacksonville,Florida,336156,278556,Southeast,12,,,Atlanta
95,0,"NationsBank of Florida, National Association",1905-08-05,1934-01-01,1996-01-24,106 South Patterson Street,Valdosta,Georgia,51623,46622,Southeast,405,,,Atlanta
96,0,Century National Bank of Broward,1928-03-05,1934-01-01,1990-10-04,501 East Las Olas Boulevard,Fort Lauderdale,Florida,469683,385194,Southeast,14,,,Atlanta
97,0,Flagship Bank of Lake Alfred,1930-04-21,1934-01-01,1990-10-04,120 South Lake Shore Way,Lake Alfred,Florida,16692,15129,Southeast,1,,,Atlanta
98,0,The Huntington National Bank of Lakeland,1931-02-19,1934-01-01,1996-03-22,115 South Missouri Avenue,Lakeland,Florida,530239,432233,Southeast,11,,,Atlanta
99,1,Seacoast National Bank,1933-01-01,1934-01-01,2006-10-25,815 Colorado Avenue,Stuart,Florida,2266837,1806964,Southeast,36,36,0,Atlanta
100,0,"SunTrust Bank, Tampa Bay",1914-07-01,1934-01-01,2000-03-29,401 East Jackwon,Tampa,Florida,2925239,1923051,Southeast,44,,,Atlanta
101,0,"Barnett Bank of Tampa, National Association",1926-09-26,1934-01-01,1993-04-30,101 East Kennedy Boulevard,Tampa,Florida,1589658,1389862,Southeast,32,,,Atlanta
102,0,The Perkins State Bank,1913-08-01,1934-01-01,2013-01-28,342 East Noble Avenue,Williston,Florida,175244,161812,Southeast,6,,,Atlanta
103,0,Florida Bank of Volusia County,1923-07-02,1934-01-01,1990-10-04,130 North Ridgewood Avenue,Daytona Beach,Florida,232403,212664,Southeast,9,,,Atlanta
104,0,"Southeast Bank of Perry, National Association",1907-04-24,1934-01-01,1999-05-05,Main Street,Perry,Florida,32435,28581,Southeast,1,,,Atlanta
105,0,First Bank of Crestview,1918-01-01,1934-01-01,1995-10-26,361 North Main,Crestview,Florida,53764,47747,Southeast,2,,,Atlanta
106,0,The First Bankers of Polk County,1913-01-21,1934-01-01,1990-10-04,Sixth Street And Jones Avenue,Haines City,Florida,180304,153455,Southeast,11,,,Atlanta
107,0,The Broadway National Bank of Tampa,1930-06-30,1934-01-01,1990-10-04,1701 East Broadway,Tampa,Florida,51348,45680,Southeast,1,,,Atlanta
108,0,Southeast National Bank of Bradenton,1925-03-25,1934-01-01,1990-10-04,920 Manatee Avenue West,Bradenton,Florida,134299,119059,Southeast,3,,,Atlanta
109,0,Barnett Bank of Putnam County,1922-01-01,1934-01-01,1999-05-05,Main Street,Crescent City,Florida,80486,73547,Southeast,4,,,Atlanta
110,0,Caribank,1926-08-02,1934-01-01,1998-11-19,255 East Dania Beach Boulevard,Dania,Florida,525792,522990,Southeast,14,,,Atlanta
111,0,Barnett Bank of West Florida,1914-07-03,1934-01-01,1996-07-11,100 West Garden Street,Pensacola,Florida,792013,605401,Southeast,19,,,Atlanta
112,0,Sun Bank and Trust Company,1905-06-08,1934-01-01,1998-04-11,1 East Jefferson Street,Brooksville,Florida,1094453,955394,Southeast,31,,,Atlanta
113,0,"SunTrust Bank, Northwest, Florida",1932-12-31,1934-01-01,2000-03-29,3522 Thomasville Road,Tallahassee,Florida,1224737,899478,Southeast,27,,,Atlanta
114,1,Century Bank and Trust,1898-01-01,1934-01-01,2013-02-05,141 South Wayne Street,Milledgeville,Georgia,216599,191279,Southeast,2,2,0,Atlanta
115,1,Bank of Madison,1890-01-01,1934-01-01,2006-11-03,133 North Main Street,Madison,Georgia,206965,170008,Southeast,4,4,0,Atlanta
116,1,Bank of Hazlehurst,1906-01-01,1934-01-01,2010-04-27,22 South Tallahassee Street,Hazlehurst,Georgia,107864,95241,Southeast,2,2,0,Atlanta
117,0,The Citizens and Southern Bank of Dublin,1928-11-01,1934-01-01,1990-10-04,215 West Jackson Street,Dublin,Georgia,103599,93178,Southeast,4,,,Atlanta
118,0,Habersham Bank,1904-05-13,1934-01-01,2011-02-22,201 North Washington Street,Clarkesville,Georgia,387681,339934,Southeast,8,,,Atlanta
119,0,Coffee County Bank,1931-07-01,1934-01-01,1998-06-24,102 North Peterson Avenue,Douglas,Georgia,84288,71161,Southeast,3,,,Atlanta
120,0,Citizens Bank,1926-10-01,1934-01-01,1996-07-23,State Highway 5 & Cartersville St.,Ball Ground,Georgia,101937,91912,Southeast,4,,,Atlanta
121,1,Bank of Alapaha,1905-03-25,1934-01-01,2009-03-26,245 Ne Railroad St.,Alapaha,Georgia,128725,114587,Southeast,4,4,0,Atlanta
122,1,Monroe County Bank,1908-10-15,1934-01-01,2006-11-03,1 East Main Street,Forsyth,Georgia,88532,80367,Southeast,2,2,0,Atlanta
123,0,Bank of Milan,1906-12-01,1934-01-01,1999-04-30,Mount Zion Street,Milan,Georgia,41439,37006,Southeast,2,,,Atlanta
124,0,The United Banking Company,1924-07-15,1934-01-01,2003-07-31,202 West Washington Avenue,Nashville,Georgia,86876,80255,Southeast,2,,,Atlanta
125,0,Sylvester Banking Company,1898-01-01,1934-01-01,2004-04-05,300 North Main Street,Sylvester,Georgia,44091,36819,Southeast,1,,,Atlanta
126,1,Exchange Bank,1903-06-01,1934-01-01,2006-11-03,250 West Hancock Street,Milledgeville,Georgia,222315,195191,Southeast,4,4,0,Atlanta
127,0,1st Community Bank,1902-01-01,1934-01-01,2004-06-10,65 Washington Street,Fairburn,Georgia,189305,163843,Southeast,,,,Atlanta
128,0,The Citizens and Southern Bank of Thomaston,1926-01-16,1934-01-01,1990-10-04,215 North Center Street,Thomaston,Georgia,60437,52476,Southeast,2,,,Atlanta
129,0,Allied Bank of Georgia,1891-01-01,1934-01-01,1998-04-08,204 Main Street,Thomson,Georgia,535505,388624,Southeast,23,,,Atlanta
130,0,Washington Loan & Banking Company,1895-01-01,1934-01-01,1990-10-04,100 East Robert Toombs Avenue,Washington,Georgia,48988,38783,Southeast,2,,,Atlanta
131,0,The Citizens Bank,1913-06-02,1934-01-01,1994-08-09,402 Washington Street,Gainesville,Georgia,97235,88182,Southeast,5,,,Atlanta
132,0,The Citizens and Southern Bank of Colquitt County,1896-01-01,1934-01-01,1995-10-12,300 South Main Street,Moultrie,Georgia,45999,38165,Southeast,1,,,Atlanta
133,0,Bank of Morgan County,1898-01-01,1934-01-01,1998-03-18,1460 Eatonton Road,Madison,Georgia,43625,36321,Southeast,2,,,Atlanta
134,1,First National Bank of Griffin,1933-05-12,1934-01-01,2006-11-03,318 South Hill Street,Griffin,Georgia,236514,217741,Southeast,9,9,0,Atlanta
135,1,The Peoples Bank of Talbotton,1891-01-01,1934-01-01,2006-11-03,26 West Monroe Street,Talbotton,Georgia,43335,39108,Southeast,2,1,0,Atlanta
136,0,Peoples Bank of Bartow County,1905-06-13,1934-01-01,1993-02-10,314 East Main Street,Cartersville,Georgia,55346,49624,Southeast,3,,,Atlanta
137,1,United Bank,1905-01-31,1934-01-01,2010-10-25,400 Griffin Street,Zebulon,Georgia,1018794,907786,Southeast,16,16,0,Atlanta
138,1,The Peoples Bank,1910-01-01,1934-01-01,2009-05-04,6124 Highway 278 Ne,Covington,Georgia,101769,98418,Southeast,2,2,0,Atlanta
139,1,The Commercial Bank,1924-09-05,1934-01-01,2010-04-27,102 N. Church Street,Crawford,Georgia,105097,89998,Southeast,2,2,0,Atlanta
140,0,"First South Bank, National Association",1924-10-15,1934-01-01,1998-04-11,110 North Camellia Boulevard,Fort Valley,Georgia,100032,82188,Southeast,3,,,Atlanta
141,1,Talbot State Bank,1907-11-25,1934-01-01,2011-02-14,Highway 36 East,Woodland,Georgia,68410,64527,Southeast,2,2,0,Atlanta
142,0,Roswell Bank,1901-03-01,1934-01-01,1990-10-04,37 Magnolia Street,Roswell,Georgia,175341,134437,Southeast,7,,,Atlanta
143,0,The Rockmart Bank,1900-10-30,1934-01-01,1990-10-04,500 East Elm Street,Rockmart,Georgia,34312,30363,Southeast,2,,,Atlanta
144,0,The Peoples Bank,1926-10-30,1934-01-01,2010-09-20,71 North Broad Street,Winder,Georgia,447185,398181,Southeast,15,,,Atlanta
145,1,The Merchants & Citizens Bank,1929-02-23,1934-01-01,2010-08-26,6 College Street,Mc Rae,Georgia,104142,89523,Southeast,1,1,0,Atlanta
146,0,Bank of Villa Rica,1899-05-04,1934-01-01,1996-07-24,U.S. Highway 78,Villa Rica,Georgia,54356,48408,Southeast,1,,,Atlanta
147,0,The Citizens and Southern Bank of Carrollton,1909-12-01,1934-01-01,1990-10-04,Adamson Square,Carrollton,Georgia,95012,84239,Southeast,3,,,Atlanta
148,0,FLAG Bank,1931-07-01,1934-01-01,2006-12-21,"3475 Piedmont Road, Ne, Suite 550",Atlanta,Georgia,1756782,1364110,Southeast,19,,,Atlanta
149,0,The Bank of Heard County,1905-10-18,1934-01-01,1996-09-25,Court Square,Franklin,Georgia,45196,39891,Southeast,2,,,Atlanta
150,0,Granite City Bank,1928-01-01,1934-01-01,1996-07-24,125 Heard Street,Elberton,Georgia,100912,83107,Southeast,4,,,Atlanta
151,0,PlantersFIRST,1927-06-15,1934-01-01,2000-10-26,1620 East Sixteenth Avenue,Cordele,Georgia,177204,149174,Southeast,8,,,Atlanta
152,0,Commercial Bank,1916-07-22,1934-01-01,2010-06-14,101 South Crawford Street,Thomasville,Georgia,526431,435447,Southeast,3,,,Atlanta
153,0,Bank of Meigs,1903-06-01,1934-01-01,1999-05-05,Main Street,Meigs,Georgia,5261,4569,Southeast,1,,,Atlanta
154,0,First National Bank of West Point,1906-01-13,1934-01-01,2001-03-28,3rd Avenue And West 10th Street,West Point,Georgia,152610,111790,Southeast,3,,,Atlanta
155,1,The Heritage Bank,1911-11-15,1934-01-01,2009-07-27,300 South Main Street,Hinesville,Georgia,592691,573227,Southeast,28,29,0,Atlanta
156,0,Bank of Wadley,1902-01-01,1934-01-01,1999-03-15,116 North Main Street,Wadley,Georgia,24179,21591,Southeast,2,,,Atlanta
157,1,The Citizens Exchange Bank,1893-07-15,1934-01-01,2006-11-03,102 South Main Street,Fairmount,Indiana,63836,56942,Central,1,1,0,Chicago
158,1,Alliance Bank,1930-07-03,1934-01-01,2006-11-03,101 West Montgomery Street,Francesville,Indiana,316717,255404,Central,7,7,0,Chicago
159,0,Farmers State Bank,1902-07-21,1934-01-01,1997-12-31,U.S. Highway 35 And 36,Losantville,Indiana,20420,18052,Central,1,,,Chicago
160,0,"First United Bank, National Association",1882-05-18,1934-01-01,2006-01-19,790 Mill Street,Middletown,Indiana,93962,76989,Central,3,,,Chicago
161,0,Farmers State Bank,1923-01-01,1934-01-01,1990-10-04,Broad Street,Mooreland,Indiana,4543,4091,Central,1,,,Chicago
162,0,Orange County Bank,1886-03-27,1934-01-01,2001-03-28,Main Street,Paoli,Indiana,114283,75910,Central,3,,,Chicago
163,0,The Union State Bank,1894-01-01,1934-01-01,1995-10-11,Main Street,Morristown,Indiana,4208,3880,Central,1,,,Chicago
164,0,"Ameritrust Bank, Morgan County",1909-07-09,1934-01-01,1990-10-04,76 South Main Street,Martinsville,Indiana,63021,57253,Central,3,,,Chicago
165,1,Tri-County Bank & Trust Company,1892-10-07,1934-01-01,2006-11-03,18 East Washington Street,Roachdale,Indiana,188019,166286,Central,5,5,0,Chicago
166,0,American State Bank,1928-12-01,1934-01-01,1990-10-04,222 South Cavin Street,Ligonier,Indiana,59646,53842,Central,5,,,Chicago
167,0,Mills County Bank National Association,1883-01-01,1934-01-01,2008-02-19,102 South Locust Street,Glenwood,Iowa,33982,30382,Western,2,,,Kansas City
168,0,Postville State Bank,1872-10-25,1934-01-01,2006-04-14,135 West Tilden,Postville,Iowa,65917,56704,Western,1,,,Kansas City
169,1,Washington State Bank,1932-04-18,1934-01-01,2006-11-03,121 S Marion Ave,Washington,Iowa,243370,196661,Western,2,2,0,Kansas City
170,0,Rippey Savings Bank,1905-03-01,1934-01-01,2001-07-12,Main Street,Rippey,Iowa,24733,21121,Western,1,,,Kansas City
171,0,Iowa State Bank,1920-03-13,1934-01-01,1990-10-04,Ninth Street And Avenue G,Fort Madison,Iowa,25849,23436,Western,2,,,Kansas City
172,0,Security State Bank,1933-05-11,1934-01-01,2002-07-25,1905 Okoboji Avenue,Milford,Iowa,40145,36752,Western,2,,,Kansas City
173,1,Buffalo Savings Bank,1909-04-01,1934-01-01,2006-11-03,120 Washington Street,Buffalo,Iowa,32940,30088,Western,1,1,0,Kansas City
174,0,The First Trust & Savings Bank,1929-12-14,1934-01-01,1991-04-11,Main Street,Anthon,Iowa,9562,8515,Western,1,,,Kansas City
175,0,First State Savings Bank,1933-05-15,1934-01-01,1990-10-04,Main Street,Mcgregor,Iowa,7877,7562,Western,2,,,Kansas City
176,0,Raccoon Valley State Bank,1914-10-05,1934-01-01,2003-11-21,1009 Court Street,Adel,Iowa,68805,60917,Western,3,,,Kansas City
177,1,Manson State Bank,1933-01-01,1934-01-01,2010-04-27,1001 Main St,Manson,Iowa,37571,33736,Western,1,1,0,Kansas City
178,1,Peoples Savings Bank,1912-10-17,1934-01-01,2006-11-03,100 South Main,Crawfordsville,Iowa,37768,34939,Western,2,2,0,Kansas City
179,1,Guthrie County State Bank,1931-10-17,1934-01-01,2006-11-03,505 East Main Street,Panora,Iowa,112214,91814,Western,2,2,0,Kansas City
180,0,Farmers State Bank,1917-06-30,1934-01-01,2008-03-27,801 Central Street,Hawarden,Iowa,45404,36535,Western,1,,,Kansas City
